historical_filename,archive_status
cosmological_vacuum_selection_v0_8.pdf,present_or_regenerated
cosmological_vacuum_selection_v0_8.tex,present_or_regenerated
cosmological_vacuum_selection_v0_8.md,present_or_regenerated
verify_cosmological_vacuum_selection_v0_8.py,present_or_regenerated
cosmological_parameter_scan_v0_8.csv,present_or_regenerated
cosmological_vacuum_selection_results_v0_8.json,present_or_regenerated
cosmological_vacuum_trajectory_v0_8.png,present_or_regenerated
cosmological_force_hierarchy_v0_8.png,present_or_regenerated
cosmological_vacuum_basin_v0_8.png,present_or_regenerated
cosmological_parameter_ridge_v0_8.png,present_or_regenerated
cosmological_vacuum_selection_research_package_v0_8.zip,present_or_regenerated
