path,bytes,sha256
CITATION.cff,289,151a5421d3d8b7a82892aed7a01e54d89ade3e7d5016b14eae6901dae82a5df1
Makefile,1065,12eb8973e1cde48a65e16662b9a52dbabd0b3dcab330eda788cb26dca6d201a0
README.md,5176,b20e49b7b9d59afb210139c8b62258a30b4c03bb2673367320d90cb0f96bf5cd
anomaly_watchlist.csv,1423,796729464978c4a6f8cb176464cf86e2efb390ea8f368f294a9e406e967565c0
claim_novelty_acceptance_matrix.csv,1440,b95ec8f54d223a7a88ca5e4b670ac154060b849474d125c4c6c921900e3c2062
code/build_manifest.py,1896,e25e6c408f6a1c5356bb6e4e742dcb38a160b8f7beb251040b1a7dd217e9c663
code/generate_figures.py,4815,311f266a1de8e36b4d69ef3f2591c5abf7974cc421f5acc765f49d7c2ef417c3
code/generate_latex_tables.py,6061,683b160aa92dabe81de9a5ca8526e091ae60aaa44fecb0babb8bbfdf324526cf
code/verify_frontier_model.py,7408,6b5d0f865461b0142a13cdfb5c67ba2f601cea72c8865c36b936a40655d82372
dependency_map.csv,2226,28935804595114b433e903dafd220e6eb0ce1945a2aed859116fe13b63222771
dependency_map.md,2573,c0dde0ba0b63df11ba2d753dd4db7fe937f13e9ab8fccafb5d597e904fec026e
environment.md,662,2b6f12bbf03c5fe1e06a840da8eb3a97bbc845067900966ae7d4e1d24b87d79b
field_content.csv,571,cc5e338d4c75b29e903cf95caf892fc8dfd33e18323bc02069a4accbfc24f235
figures/acceptance_architecture.pdf,13427,e49a81c4148e5e608c0a7fafe57f1588e7261c15c34bdb6c57a88a3fd0ef9ce4
figures/acceptance_architecture.png,107376,d929e8dd2afacb7e724fd87f5c86ec2e1e3d34ff7bf6924fa4edbff2583bfc5a
figures/evidence_status_chart.pdf,18364,8383d9aa072bc5609563445716a57833211d35d0eb81bd0e6bc751eacb554e20
figures/evidence_status_chart.png,195626,4057da58fe49165420c3ab3d65a5ab858d96c9eb2b0b4a16ee12b98b6bfe97b9
figures/seam_taxonomy_matrix.pdf,24797,859a02c96e6a1d100ccc89a936f92138c4c1d5eb8c901ba932f10d8391b66a5e
figures/seam_taxonomy_matrix.png,327131,e41dfe0a3ff761052aeba94400542229262620762742c318b5c7fd6fc58c21fc
figures/verified_scale_map.pdf,18526,5ceacdc808ddc9ccc1ada4d4b1b564ce805573765ba0851e95ebb88f7524a640
figures/verified_scale_map.png,108757,028e2482c725a9c83d7cbbea3f125befeb31d5ef11f4250d519f9fb5e6f73b0b
frontier_model_action.tex,4237,0ea03687289ed2a3d24dff5bb8512231063273fd6dcdac7996c32d7d451b1aa9
frontier_model_constraint_ledger.pdf,529010,0c83f52c604a7a47b3f9460e68ce5a63790ed14991a7939c458ed45b1e787871
known_limits.md,4726,a0921db85cf75919e104313378763d1a7f25dabd5f5fa446173fad2ce566db46
minimum_viable_successor_checklist.md,2209,539869f5f080a65174536214cdceb8c0e4f6aef167f8d260e0dade2beb92daca
minimum_viable_successor_checklist.pdf,142778,b0ea585a66593938b9180271222e5bd3572df1bf7516e24529c956a1064d6934
notation_ledger.csv,800,3ac46a5c8dab1e89c376e65bb340c978f5b1ca133811d6f8d4da3cb9470eb709
paper/frontier_model_constraint_ledger.pdf,529010,0c83f52c604a7a47b3f9460e68ce5a63790ed14991a7939c458ed45b1e787871
paper/frontier_model_constraint_ledger.tex,17790,072bc42b46fa69076e5723372b3818661b0a7747295768d90df54f5daf8435d7
paper/minimum_viable_successor_checklist.pdf,142778,b0ea585a66593938b9180271222e5bd3572df1bf7516e24529c956a1064d6934
paper/minimum_viable_successor_checklist.tex,2478,519578889d0a380f5e1c1dd7bc211a80d70d77728b6fa0959ad4a07d8c7889ad
paper/references.bib,7493,9ed14169feb3eb9bf9f3b655b811293c152c0c51ba4395cf31fd1c2c94b59325
recovery_requirements.csv,8824,baede3d6a09ada62db968bc9ce44439b63c77a8ab164d468ad29cac30624bba0
references.bib,7493,9ed14169feb3eb9bf9f3b655b811293c152c0c51ba4395cf31fd1c2c94b59325
requirements.txt,60,d94aaaba6dcfcd94902541df50ed79fbc5750d7966cbe7d137b11ecf2f230e2c
research_notes.md,2574,6d49fbe8d4824fe789a72db3de594865a3120442cf5af8c599bab0e9b4302059
results/baseline_constants.json,1934,4155f89ed35f9e6542925675515fab3efe204cd71ed8d2da916c18d97b58bc98
results/benchmark_arrays.npz,1913,e76f37629151e3317f08502f46735535765ac0063855de8a74b9e686428429d2
results/environment.json,340,c05d079b250b2763b5c5c29cb5614f90a2eef102381745e1b00142a6e6bf9f50
